movie_name,ranking,score,score_num
惊魂记,158,9.0,347060人评价
射雕英雄传之东成西就,159,8.7,707627人评价
血战钢锯岭,160,8.7,848212人评价
你的名字。,161,8.5,1568084人评价
我是山姆,162,9.0,370241人评价
阳光姐妹淘,163,8.8,630685人评价
背靠背，脸对脸,164,9.5,172858人评价
恐怖直播,165,8.7,717764人评价
心灵奇旅,166,8.7,1116295人评价
黑客帝国3：矩阵革命,167,8.8,489887人评价
电锯惊魂,168,8.7,600897人评价
三块广告牌,169,8.7,906284人评价
小丑,170,8.7,1111641人评价
谍影重重3,171,8.9,462809人评价
达拉斯买家俱乐部,172,8.8,498372人评价
疯狂原始人,173,8.7,908791人评价
无间道2,174,8.8,555231人评价
绿里奇迹,175,8.9,380653人评价
爱在午夜降临前,176,8.9,462776人评价
末路狂花,177,9.0,332909人评价
海街日记,178,8.8,511383人评价
疯狂的石头,179,8.6,911139人评价
风之谷,180,8.9,388649人评价
上帝之城,181,9.0,328907人评价
雨中曲,182,9.1,261864人评价
英雄本色,183,8.6,597579人评价
2001太空漫游,184,8.9,384575人评价
心迷宫,185,8.7,603101人评价
高山下的花环,186,9.5,148450人评价
记忆碎片,187,8.7,659336人评价
纵横四海,188,8.8,467615人评价
卢旺达饭店,189,8.9,362243人评价
无敌破坏王,190,8.7,602071人评价
小偷家族,191,8.7,885061人评价
机器人之梦,192,9.1,387851人评价
恐怖游轮,193,8.5,971969人评价
冰川时代,194,8.7,676303人评价
牯岭街少年杀人事件,195,8.9,358848人评价
东京教父,196,9.0,281626人评价
魔女宅急便,197,8.7,516146人评价
岁月神偷,198,8.7,607779人评价
忠犬八公物语,199,9.2,215268人评价
芙蓉镇,200,9.3,183226人评价
荒蛮故事,201,8.7,506228人评价
遗愿清单,202,8.7,526399人评价
大佛普拉斯,203,8.7,542024人评价
源代码,204,8.6,912707人评价
贫民窟的百万富翁,205,8.6,799139人评价
疯狂的麦克斯4：狂暴之路,206,8.7,608431人评价
你看起来好像很好吃,207,8.9,369466人评价
可可西里,208,8.9,339957人评价
东邪西毒,209,8.6,627570人评价
花束般的恋爱,210,8.6,799120人评价
波西米亚狂想曲,211,8.6,678472人评价
城市之光,212,9.3,168268人评价
爆裂鼓手,213,8.6,678276人评价
白日梦想家,214,8.6,623980人评价
青蛇,215,8.6,592355人评价
爱乐之城,216,8.4,1073860人评价
哈利·波特与死亡圣器(上),217,8.6,680545人评价
黑天鹅,218,8.6,836941人评价
终结者2：审判日,219,8.8,377944人评价
无耻混蛋,220,8.7,547693人评价
初恋这件小事,221,8.5,1041902人评价
大红灯笼高高挂,222,8.8,358289人评价
新龙门客栈,223,8.7,499690人评价
雨人,224,8.7,437888人评价
人工智能,225,8.7,493861人评价
崖上的波妞,226,8.6,565378人评价
虎口脱险,227,8.9,289977人评价
千钧一发,228,8.8,340734人评价
真爱至上,229,8.5,795921人评价
罗生门,230,8.8,351758人评价
恋恋笔记本,231,8.5,737602人评价
哈利·波特与凤凰社,232,8.6,679809人评价
彗星来的那一夜,233,8.6,669285人评价
海边的曼彻斯特,234,8.6,637024人评价
火星救援,235,8.5,817369人评价
黑客帝国2：重装上阵,236,8.7,448198人评价
奇迹男孩,237,8.6,593998人评价
千年女优,238,8.8,311521人评价
萤火虫之墓,239,8.7,434567人评价
战争之王,240,8.7,408724人评价
步履不停,241,8.8,316681人评价
谍影重重2,242,8.7,392840人评价
蜘蛛侠：平行宇宙,243,8.6,745225人评价
攻壳机动队,244,9.0,210749人评价
血钻,245,8.7,416036人评价
冰雪奇缘,246,8.5,804834人评价
魂断蓝桥,247,8.8,305863人评价
房间,248,8.7,395887人评价
隐藏人物,249,8.9,263772人评价
谍影重重,250,8.6,480053人评价
